AntdIcon,FaIcon,FaType,Props
ArrowLeftOutlined,faArrowLeft,solid,
ArrowRightOutlined,faArrowRight,solid,
BarsOutlined,faListUl,solid,
CalendarOutlined,faCalendar,solid,
CaretDownFilled,faCaretDown,solid,
CaretDownOutlined,faCaretDown,solid,
CaretUpOutlined,faCaretUp,solid,
CheckCircleFilled,faCheckCircle,solid,
CheckCircleOutlined,faCheckCircle,regular,
CheckOutlined,faCheck,solid,
ClockCircleOutlined,faClock,regular,
CloseCircleFilled,faTimesCircle,solid,
CloseCircleOutlined,faTimesCircle,regular,
CloseOutlined,faTimes,solid,
CopyOutlined,faCopy,regular,
DeleteOutlined,faTrashAlt,regular,
DoubleLeftOutlined,faAngleDoubleLeft,solid,
DoubleRightOutlined,faAngleDoubleLeft,solid,
DownOutlined,faChevronCircleDown,solid,
DownloadOutlined,faDownload,solid,
EditOutlined,faEdit,regular,
EllipsisOutlined,faEllipsisH,solid,
EnterOutlined,faEdit,regular,
ExclamationCircleFilled,faExclamationCircle,solid,
ExclamationCircleOutlined,faExclamationCircle,solid,
EyeInvisibleOutlined,faEyeSlash,regular,
EyeOutlined,faEye,regular,
EyeTwoTone,faEye,regular,
FileOutlined,faFile,regular,
FileTwoTone,faFile,regular,
FilterFilled,faFilter,solid,
FolderOpenOutlined,faFolderOpen,regular,
FolderOutlined,faFolder,regular,
InfoCircleFilled,faInfoCircle,solid,
InfoCircleOutlined,faInfoCircle,solid,
LeftOutlined,faChevronLeft,solid,
LoadingOutlined,faSpinner,solid,spin
MinusCircleOutlined, faMinusCircle, solid,
MinusSquareOutlined,faMinusSquare,regular,
PaperClipOutlined,faPaperclip,solid,
PictureTwoTone,faImage,regular,
PlusOutlined,faPlus,solid,
PlusSquareOutlined,faPlusSquare,regular,
RedoOutlined,faRedo,solid,
RightOutlined,faChevronRight,solid,
SearchOutlined,faSearch,solid,
SmileOutlined,faSmile,regular,
StarFilled,faStar,solid,
VerticalAlignTopOutlined, faArrowUp, solid,
UpOutlined,faChevronUp,solid,
